2023-12-20 08:56:34.446 [info] (Client) Pylance async client (2023.12.1) started with python extension (2023.22.1)
2023-12-20 08:56:35.613 [info] [Info  - 8:56:35 AM] (21368) Pylance language server 2023.12.1 (pyright a78e2b10) starting
2023-12-20 08:56:35.616 [info] [Info  - 8:56:35 AM] (21368) Server root directory: /home/ubuntu/.vscode-server/extensions/ms-python.vscode-pylance-2023.12.1/dist
2023-12-20 08:56:35.616 [info] [Info  - 8:56:35 AM] (21368) Starting service instance "raw_files"
2023-12-20 08:56:35.864 [info] [Info  - 8:56:35 AM] (21368) Setting environmentName for service "raw_files": "python"
2023-12-20 08:56:36.094 [info] [Info  - 8:56:36 AM] (21368) No source files found.
2023-12-20 08:56:43.340 [info] [Info  - 8:56:43 AM] (21368) [IDX(2)] Long operation: scan packages /home/ubuntu/raw_files (3944ms)
2023-12-20 08:56:44.136 [info] [Info  - 8:56:44 AM] (21368) [BG(1)] Long operation: checking: /home/ubuntu/raw_files/script_raw_file (3085ms)
2023-12-20 08:56:44.136 [info] [Info  - 8:56:44 AM] (21368) [BG(1)] Long operation: analyzing: /home/ubuntu/raw_files/script_raw_file (4756ms)
2023-12-20 08:56:47.788 [info] [Info  - 8:56:47 AM] (21368) [IDX(2)] Long operation: index execution environment /home/ubuntu/raw_files (4074ms)
2023-12-20 08:56:47.817 [info] [Info  - 8:56:47 AM] (21368) [IDX(2)] Long operation: index packages /home/ubuntu/raw_files (4158ms)
2023-12-20 08:57:21.752 [info] [Info  - 8:57:21 AM] (21368) Setting pythonPath for service "raw_files": "/bin/python3"
2023-12-20 08:57:21.752 [info] [Info  - 8:57:21 AM] (21368) Setting environmentName for service "raw_files": "3.8.10 (global)"
2023-12-20 08:57:21.877 [info] [Info  - 8:57:21 AM] (21368) Assuming Python version 3.8
2023-12-20 08:57:22.066 [info] [Info  - 8:57:22 AM] (21368) No source files found.
2023-12-20 08:57:25.956 [info] [Info  - 8:57:25 AM] (21368) [BG(1)] Long operation: checking: /home/ubuntu/raw_files/script_raw_file (2720ms)
2023-12-20 08:57:25.956 [info] [Info  - 8:57:25 AM] (21368) [BG(1)] Long operation: analyzing: /home/ubuntu/raw_files/script_raw_file (3789ms)
2023-12-20 08:57:29.051 [info] [Info  - 8:57:29 AM] (21368) [IDX(3)] Long operation: scan packages /home/ubuntu/raw_files (2819ms)
2023-12-20 09:04:54.549 [info] [Info  - 9:04:54 AM] (21368) [BG(1)] Long operation: checking: /home/ubuntu/raw_files/Script_model (2874ms)
2023-12-20 09:04:54.549 [info] [Info  - 9:04:54 AM] (21368) [BG(1)] Long operation: analyzing: /home/ubuntu/raw_files/Script_model (2983ms)
