temperature,city,pression,date
284.27,Paris,1012,2023-12-21 11:33
285.81,London,1005,2023-12-21 11:33
274.34,Washington,1019,2023-12-21 11:33
284.35,Paris,1012,2023-12-21 11:32
285.83,London,1005,2023-12-21 11:32
274.3,Washington,1018,2023-12-21 11:32
284.27,Paris,1012,2023-12-21 11:28
285.83,London,1005,2023-12-21 11:28
274.15,Washington,1019,2023-12-21 11:28
284.27,Paris,1012,2023-12-21 11:27
285.83,London,1005,2023-12-21 11:27
274.33,Washington,1019,2023-12-21 11:27
284.27,Paris,1012,2023-12-21 11:26
285.78,London,1003,2023-12-21 11:26
274.33,Washington,1019,2023-12-21 11:26
284.35,Paris,1012,2023-12-21 11:25
285.78,London,1003,2023-12-21 11:25
274.33,Washington,1019,2023-12-21 11:25
284.35,Paris,1012,2023-12-21 11:24
285.78,London,1003,2023-12-21 11:24
274.33,Washington,1019,2023-12-21 11:24
284.35,Paris,1012,2023-12-21 11:23
285.78,London,1003,2023-12-21 11:23
274.33,Washington,1019,2023-12-21 11:23
284.38,Paris,1012,2023-12-21 11:22
285.78,London,1003,2023-12-21 11:22
274.15,Washington,1019,2023-12-21 11:22
284.38,Paris,1012,2023-12-21 11:21
285.78,London,1003,2023-12-21 11:21
274.15,Washington,1019,2023-12-21 11:21
284.38,Paris,1012,2023-12-21 11:20
285.78,London,1003,2023-12-21 11:20
274.15,Washington,1019,2023-12-21 11:20
284.38,Paris,1012,2023-12-21 11:19
285.78,London,1003,2023-12-21 11:19
274.15,Washington,1019,2023-12-21 11:19
284.35,Paris,1012,2023-12-21 11:18
285.78,London,1003,2023-12-21 11:18
274.15,Washington,1019,2023-12-21 11:18
284.35,Paris,1012,2023-12-21 11:17
285.78,London,1003,2023-12-21 11:17
274.33,Washington,1019,2023-12-21 11:17
284.35,Paris,1012,2023-12-21 11:16
285.65,London,1003,2023-12-21 11:16
274.33,Washington,1019,2023-12-21 11:16
284.35,Paris,1012,2023-12-21 11:15
285.65,London,1003,2023-12-21 11:15
274.33,Washington,1019,2023-12-21 11:15
284.35,Paris,1012,2023-12-21 11:14
285.65,London,1003,2023-12-21 11:14
274.33,Washington,1019,2023-12-21 11:14
284.35,Paris,1012,2023-12-21 11:13
285.65,London,1003,2023-12-21 11:13
274.33,Washington,1019,2023-12-21 11:13
284.35,Paris,1012,2023-12-21 11:12
285.67,London,1003,2023-12-21 11:12
273.9,Washington,1019,2023-12-21 11:12
284.34,Paris,1012,2023-12-21 11:11
285.5,London,1003,2023-12-21 11:11
273.9,Washington,1019,2023-12-21 11:11
284.34,Paris,1012,2023-12-21 11:10
285.5,London,1003,2023-12-21 11:10
273.9,Washington,1019,2023-12-21 11:10
284.34,Paris,1012,2023-12-21 11:09
285.5,London,1003,2023-12-21 11:09
273.9,Washington,1019,2023-12-21 11:09
284.34,Paris,1012,2023-12-21 11:08
285.5,London,1003,2023-12-21 11:08
273.9,Washington,1019,2023-12-21 11:08
284.38,Paris,1012,2023-12-21 11:07
285.5,London,1003,2023-12-21 11:07
273.9,Washington,1019,2023-12-21 11:07
284.38,Paris,1012,2023-12-21 11:06
285.49,London,1003,2023-12-21 11:06
273.9,Washington,1019,2023-12-21 11:06
284.33,Paris,1012,2023-12-21 11:05
285.49,London,1003,2023-12-21 11:05
274.31,Washington,1019,2023-12-21 11:05
284.33,Paris,1012,2023-12-21 11:04
285.49,London,1003,2023-12-21 11:04
274.31,Washington,1019,2023-12-21 11:04
284.33,Paris,1012,2023-12-21 11:03
285.49,London,1003,2023-12-21 11:03
274.31,Washington,1019,2023-12-21 11:03
284.38,Paris,1012,2023-12-21 11:02
285.49,London,1003,2023-12-21 11:02
274.31,Washington,1019,2023-12-21 11:02
